iter	Passed	Remaining
264	2610	7240
265	2619	7229
266	2626	7211
267	2636	7200
268	2646	7191
269	2655	7179
270	2661	7159
271	2668	7142
272	2676	7127
273	2685	7116
274	2693	7100
275	2702	7090
276	2712	7080
277	2725	7078
278	2733	7063
279	2741	7050
280	2749	7035
281	2758	7022
282	2766	7009
283	2781	7013
284	2792	7004
285	2801	6993
286	2815	6994
287	2824	6983
288	2835	6975
289	2843	6962
290	2850	6946
291	2865	6947
292	2875	6938
293	2886	6931
294	2892	6913
295	2901	6901
296	2913	6896
297	2922	6883
298	2932	6876
299	2942	6865
300	2948	6846
301	2955	6830
302	2969	6831
303	2979	6821
304	2987	6807
305	2995	6793
306	3002	6778
307	3012	6767
308	3023	6762
309	3036	6758
310	3044	6745
311	3053	6732
312	3061	6720
313	3071	6711
314	3082	6703
315	3093	6696
316	3100	6679
317	3107	6664
318	3118	6657
319	3125	6641
320	3136	6635
321	3144	6620
322	3155	6613
323	3164	6603
324	3173	6590
325	3182	6579
326	3193	6571
327	3204	6565
328	3209	6546
329	3216	6531
330	3228	6524
331	3234	6508
332	3241	6493
333	3250	6481
334	3262	6475
335	3268	6458
336	3277	6447
337	3293	6450
338	3309	6452
339	3319	6443
340	3326	6429
341	3335	6416
342	3341	6401
343	3351	6391
344	3361	6381
345	3367	6365
346	3376	6354
347	3386	6345
348	3395	6334
349	3401	6317
350	3408	6302
351	3416	6290
352	3428	6284
353	3436	6271
354	3445	6260
355	3454	6249
356	3461	6235
357	3473	6229
358	3483	6220
359	3493	6210
360	3501	6197
361	3510	6187
362	3519	6176
363	3525	6160
364	3535	6150
365	3545	6142
366	3555	6132
367	3564	6121
368	3572	6109
369	3580	6097
370	3586	6080
371	3594	6068
372	3603	6057
373	3614	6049
374	3622	6038
375	3629	6022
376	3634	6006
377	3644	5997
378	3653	5986
379	3661	5973
380	3672	5967
381	3680	5954
382	3691	5946
383	3700	5936
384	3708	5923
385	3719	5917
386	3729	5907
387	3742	5902
388	3748	5888
389	3756	5875
390	3765	5864
391	3769	5846
392	3779	5837
393	3787	5825
394	3796	5814
395	3804	5803
396	3813	5792
397	3826	5787
398	3833	5773
399	3842	5764
400	3849	5750
401	3859	5741
402	3877	5743
403	3888	5736
404	3898	5727
405	3911	5722
406	3922	5715
407	3932	5705
408	3943	5698
409	3952	5687
410	3961	5676
411	3968	5663
412	3978	5654
413	3984	5639
414	3990	5624
415	3997	5611
416	4005	5599
417	4013	5587
418	4019	5574
419	4028	5563
420	4034	5548
421	4046	5542
422	4057	5534
423	4064	5521
424	4068	5503
425	4072	5486
426	4083	5479
427	4090	5466
428	4098	5454
429	4107	5445
430	4120	5439
431	4128	5428
432	4137	5417
433	4143	5403
434	4151	5392
435	4162	5384
436	4168	5370
437	4175	5357
438	4187	5350
439	4193	5337
440	4203	5328
441	4210	5314
442	4219	5304
443	4226	5292
444	4234	5281
445	4245	5273
446	4261	5271
447	4269	5260
448	4279	5251
449	4287	5240
450	4299	5234
451	4302	5216
452	4314	5210
453	4325	5201
454	4332	5190
455	4344	5182
456	4355	5174
457	4367	5168
458	4376	5158
459	4387	5150
460	4395	5139
461	4408	5134
462	4416	5122
463	4420	5106
464	4428	5094
465	4436	5084
466	4441	5069
467	4446	5054
468	4454	5043
469	4464	5034
470	4472	5023
471	4482	5014
472	4492	5004
473	4501	4995
474	4512	4987
475	4521	4977
476	4531	4968
477	4539	4957
478	4546	4944
479	4556	4936
480	4562	4922
481	4567	4908
482	4575	4897
483	4584	4887
484	4592	4876
485	4603	4868
486	4615	4862
487	4621	4848
488	4628	4836
489	4639	4828
490	4650	4821
491	4659	4810
492	4667	4800
493	4673	4787
494	4682	4776
495	4690	4765
496	4697	4754
497	4703	4741
498	4711	4730
499	4724	4724
500	4733	4714
501	4739	4701
502	4744	4688
503	4754	4679
504	4757	4663
505	4765	4652
506	4769	4638
507	4782	4631
508	4794	4624
509	4803	4614
510	4812	4605
511	4824	4598
512	4834	4589
513	4837	4574
514	4844	4562
515	4855	4554
516	4863	4543
517	4868	4530
518	4877	4520
519	4887	4511
520	4895	4500
521	4902	4489
522	4911	4479
523	4921	4470
524	4931	4461
525	4939	4451
526	4949	4442
527	4959	4433
528	4970	4425
529	4978	4414
530	4985	4403
531	4992	4391
532	5002	4383
533	5010	4372
534	5017	4361
535	5024	4349
536	5034	4340
537	5042	4330
538	5050	4319
539	5062	4312
540	5069	4300
541	5076	4289
542	5084	4279
543	5092	4268
544	5100	4257
545	5111	4250
546	5114	4235
547	5120	4223
548	5129	4213
549	5137	4203
550	5147	4194
551	5154	4183
552	5162	4173
553	5171	4163
554	5178	4151
555	5184	4140
556	5194	4131
557	5198	4117
558	5206	4107
559	5215	4098
560	5223	4087
561	5231	4077
562	5243	4069
563	5250	4059
564	5260	4050
565	5269	4040
566	5278	4030
567	5286	4020
568	5296	4012
569	5309	4005
570	5318	3995
571	5325	3984
572	5334	3975
573	5343	3965
574	5349	3954
575	5357	3943
576	5366	3934
577	5380	3928
578	5390	3919
579	5400	3910
580	5408	3900
581	5416	3890
582	5426	3881
583	5437	3873
584	5442	3860
585	5447	3848
586	5452	3836
587	5458	3824
588	5464	3813
589	5473	3803
590	5485	3796
591	5494	3786
592	5503	3777
593	5507	3764
594	5511	3751
595	5516	3739
596	5526	3730
597	5535	3721
598	5542	3710
599	5551	3701
600	5559	3690
601	5564	3678
602	5572	3668
603	5579	3658
604	5587	3648
605	5596	3638
606	5604	3628
607	5613	3619
608	5622	3609
609	5633	3601
610	5643	3592
611	5650	3582
612	5659	3573
613	5673	3566
614	5678	3554
615	5688	3546
616	5697	3536
617	5702	3524
618	5709	3514
619	5717	3504
620	5724	3493
621	5736	3485
622	5744	3476
623	5749	3464
624	5757	3454
625	5765	3444
626	5771	3433
627	5780	3424
628	5789	3414
629	5797	3404
630	5806	3395
631	5813	3385
632	5824	3376
633	5836	3369
634	5842	3358
635	5851	3348
636	5862	3340
637	5873	3332
638	5882	3323
639	5890	3313
640	5897	3302
641	5905	3292
642	5917	3285
643	5925	3275
644	5932	3264
645	5939	3254
646	5947	3244
647	5957	3236
648	5964	3225
649	5975	3217
650	5985	3209
651	5993	3199
652	6005	3191
653	6014	3182
654	6023	3172
655	6027	3160
656	6038	3152
657	6048	3143
658	6059	3135
659	6069	3126
660	6076	3116
661	6086	3107
662	6093	3097
663	6104	3089
664	6110	3078
665	6115	3067
666	6119	3055
667	6128	3046
668	6140	3038
669	6145	3026
670	6153	3017
671	6157	3005
672	6161	2993
673	6170	2984
674	6180	2975
675	6186	2965
676	6194	2955
677	6200	2944
678	6204	2933
679	6208	2921
680	6215	2911
681	6218	2899
682	6222	2888
683	6227	2876
684	6230	2865
685	6232	2852
686	6236	2841
687	6242	2830
688	6245	2819
689	6248	2807
690	6254	2796
691	6264	2788
692	6268	2776
693	6271	2765
694	6278	2755
695	6282	2744
696	6287	2733
697	6293	2722
698	6299	2712
699	6305	2702
700	6309	2691
701	6317	2681
702	6322	2671
703	6327	2660
704	6337	2651
705	6341	2640
706	6346	2630
707	6350	2619
708	6355	2608
709	6362	2598
710	6367	2588
711	6370	2576
712	6376	2566
713	6378	2554
714	6381	2543
715	6384	2532
716	6388	2521
717	6393	720	6718	6397	721	6418	2471
722	6428	2462
723	6434	2452
724	6442	2443
725	6456	2436
726	6464	2427
727	6473	2418
728	6478	2408
729	6485	2398
730	6493	2389
731	6498	2379
732	6507	2370
733	6517	2361
734	6524	2352
735	6532	2343
736	6541	2334
737	6549	2325
738	6557	2316
739	6568	2307
740	6578	2299
741	6586	2290
742	6593	2280
743	6597	2270
744	6605	2260
745	6613	2251
746	6621	2242
747	6632	2234
748	6638	2224
749	6646	2215
750	6655	2206
751	6664	2197
752	6670	2187
753	6675	2178
754	6684	2169
755	6694	2160
756	6703	2151
757	6714	2143
758	6719	2133
759	6727	2124
760	6735	2115
761	6747	2107
762	6756	2098
763	6768	2090
764	6776	2081
765	6784	2072
766	6791	2063
767	6799	2053
768	6807	2044
769	6814	2035
770	6822	2026
771	6827	2016
772	6834	2007
773	6838	1996
774	6853	1989
775	6863	1981
776	6871	1972
777	6881	1963
778	6890	1954
779	6900	1946
780	6911	1938
781	6919	1928
782	6927	1919
783	6935	1910
784	6945	1902
785	6957	1894
786	6967	1885
787	6974	1876
788	6984	1867
789	6993	1859
790	7004	1850
791	7015	1842
792	7024	1833
793	7030	1824
794	7040	1815
795	7051	1807
796	7059	1797
797	7066	1788
798	7071	1779
799	7081	1770
800	7093	1762
801	7098	1752
802	7106	1743
803	7120	1735
804	7131	1727
805	7139	1718
806	7150	1709
807	7158	1701
808	7167	1692
809	7173	1682
810	7183	1674
811	7190	1664
812	7195	1655
813	7205	1646
814	7211	1637
815	7221	1628
816	7233	1620
817	7243	1611
818	7252	1602
819	7261	1593
820	7270	1585
821	7275	1575
822	7286	1567
823	7298	1558
824	7302	1548
825	7311	1540
826	7319	1531
827	7325	1521
828	7333	1512
829	7345	1504
830	7352	1495
831	7359	1486
832	7371	1477
833	7380	1469
834	7386	1459
835	7398	1451
836	7408	1442
837	7415	1433
838	7424	1424
839	7440	1417
840	7446	1407
841	7454	1398
842	7458	1389
843	7468	1380
844	7477	1371
845	7485	1362
846	7493	1353
847	7502	1344
848	7509	1335
849	7516	1326
850	7524	1317
851	7531	1308
852	7539	1299
853	7546	1290
854	7555	1281
855	7563	1272
856	7571	1263
857	7580	1254
858	7588	1245
859	7594	1236
860	7601	1227
861	7607	1217
862	7615	1209
863	7626	1200
864	7631	1191
865	7643	1182
866	7649	1173
867	7655	1164
868	7666	1155
869	7673	1146
870	7681	1137
871	7687	1128
872	7697	1119
873	7704	1110
874	7712	1101
875	7718	1092
876	7726	1083
877	7735	1074
878	7748	1066
879	7762	1058
880	7772	1049
881	7782	1041
882	7791	1032
883	7801	1023
884	7811	1015
885	7816	1005
886	7822	996
887	7829	987
888	7837	978
889	7848	969
890	7856	961
891	7865	952
892	7872	943
893	7885	935
894	7889	925
895	7892	916
896	7895	906
897	7898	897
898	7901	887
899	7904	878
900	7908	868
901	7911	859
902	7914	850
903	7917	840
904	7920	831
905	7924	822
906	7927	812
907	7930	803
908	7933	794
909	7936	784
910	7939	775
911	7942	766
912	7945	757
913	7948	747
914	7951	738
915	7954	729
916	7957	720
917	796918	79918	796919	7941	690
920	7946	681
921	7950	672
922	7953	663
923	7958	654
924	7962	645
925	7966	636
926	7971	627
927	7975	618
928	7979	609
929	7983	600
930	7987	591
931	7992	583
932	7996	574
933	8000	565
934	8005	556
935	8009	547
936	8015	538
937	8021	530
938	8025	521
939	8031	512
940	8036	503
941	8040	495
942	8044	486
943	8049	477
944	8053	468
945	8059	460
946	8064	451
947	8069	442
948	8073	433
949	8078	425
950	8082	416
951	8086	407
952	8090	399
953	8093	390
954	8097	381
955	8101	372
956	8105	364
957	8110	355
958	8115	346
959	8118	338
960	8124	329
961	8129	321
962	8134	312
963	8139	303
964	8143	295
965	8148	286
966	8155	278
967	8158	269
968	8163	261
969	8168	252
970	8171	244
971	8175	235
972	8178	226
973	8182	218
974	8184	209
975	8188	201
976	8191	192
977	8193	184
978	8196	175
979	8199	167
980	8202	158
981	8205	150
982	8208	141
983	8211	133
984	8213	125
985	8216	116
986	8219	108
987	8222	99
988	8224	91
989	8227	83
990	8229	74
991	8232	66
992	8234	58
993	8237	49
994	8239	41
995	8242	33
996	8244	24
997	8246	16
998	8248	8
999	8251	0
196	0

998	7702	7
999	7707	0
